15E1.2	1.4374
2-PDE	0.371525
7A5	1.6798
A1BG	0.020825
A2BP1	-3.9354
A2M	-2.9238
A2ML1	-0.3836
A3GALT2	1.1288
A4GALT	-0.0520875
A4GNT	-0.4401
AAAS	0.8756
AACS	-0.7298
AADAC	0.9734
AADACL1	-2.9089
AADACL2	-0.0467
AADAT	-0.03505
AAK1	0.190952941
AAMP	0.9384
AANAT	-0.3134
AARS	-0.02915
AARSD1	-0.3946
AASDH	0.097
AASDHPPT	-0.574107692
AASS	1.4622
AATF	1.12465
AATK	-1.193538462
ABAT	-1.557323077
ABCA1	0.9641875
ABCA10	-0.401933333
ABCA11	-0.338866667
ABCA12	2.951
ABCA13	2.1278
ABCA2	-1.0871
ABCA3	-1.215527273
ABCA4	-0.200855556
ABCA5	-2.52905
ABCA6	-1.441846154
ABCA7	1.2594
ABCA8	-1.288
ABCA9	-1.093030769
ABCB1	-2.534563636
ABCB10	0.354033333
ABCB11	-0.107066667
ABCB4	0.5872
ABCB5	-0.033333333
ABCB6	0.205876923
ABCB7	1.4519
ABCB8	0.7271125
ABCB9	-0.567425
ABCC1	2.4289
ABCC10	0.8908
ABCC11	-0.8332375
ABCC12	-3.297025
ABCC13	-0.2809
ABCC2	2.777133333
ABCC3	2.022581818
ABCC4	1.61756875
ABCC5	-0.447233333
ABCC6	0.728672222
ABCC8	-3.61
ABCC9	-1.634909091
ABCD1	0.813866667
ABCD2	-1.925833333
ABCD3	0.682371429
ABCD4	0.0962625
ABCE1	0.8642
ABCF1	0.573123077
ABCF2	0.703163636
ABCF3	-0.161975
ABCG1	-0.208366667
ABCG2	-0.988
ABCG4	-1.297466667
ABCG5	0.5552
ABCG8	0.956966667
ABHD1	-1.3198
ABHD10	-0.356776923
ABHD11	0.967261538
ABHD12	-0.379053846
ABHD13	-0.682707692
ABHD14A	-1.81
ABHD14B	0.57595
ABHD2	0.557325
ABHD3	1.1163
ABHD4	0.8537
ABHD5	1.2643
ABHD6	-2.3971
ABHD7	-3.1617
ABHD8	-2.0474
ABHD9	-0.833866667
ABI1	0.180675
ABI2	-0.048025
ABI3	-1.7405
ABI3BP	0.752
ABL1	2.34284
ABL2	-0.189766667
ABLIM1	-2.019925
ABLIM2	-3.5956
ABLIM3	-1.165661538
ABO	-0.0243
ABP1	-0.387545455
ABR	-3.8022
ABRA	-0.5342
ABT1	1.7766
ABTB1	-0.68515
ABTB2	-0.1726
ACAA1	0.167930769
ACAA2	0.703509091
ACACA	0.43269375
ACACB	-0.675
ACAD10	1.3472625
ACAD11	0.673578571
ACAD8	-0.7877
ACAD9	0.3192
ACADL	-0.1957625
ACADM	0.603672727
ACADS	0.841728571
ACADSB	0.311545833
ACADVL	0.798225
ACAT1	0.676866667
ACBD3	-0.067353846
ACBD4	0.690436364
ACBD5	-0.4229
ACBD6	0.2653
ACCN1	-2.3756375
ACCN2	-2.4517
ACCN3	-0.092433333
ACCN4	0.3580125
ACCN5	0.034766667
ACD	-0.2807875
ACE	1.22465
ACE2	-0.3165
ACF	1.3771
ACHE	-0.415575
ACIN1	0.7602375
ACLY	0.870027273
ACMSD	1.0568
ACN9	1.3192
ACO1	0.8195875
ACOT11	-0.2341
ACOT12	-0.5669
ACOT2	-0.1427375
ACOT4	-0.719
ACOT7	-1.322518182
ACOT8	-1.3344
ACOT9	0.8706
ACOX1	0.3664
ACOX2	-1.3597125
ACOX3	-0.218218182
ACP1	0.1406
ACP2	0.799033333
ACP5	0.778525
ACP6	1.271025
ACPL2	-1.0453
ACPP	1.027176282
ACPT	-0.4803125
ACR	-1.370238462
ACRBP	1.0264
ACRC	-1.3571
ACRV1	-1.29015
ACSBG1	-4.702
ACSBG2	-0.4631
ACSL1	-0.9951
ACSL3	-0.67055
ACSL4	-0.0434
ACSL5	-0.8002375
ACSL6	-3.110563636
ACSM1	0.9984
ACSM3	1.707333333
ACSS1	0.13535
ACSS2	0.4785875
ACTA1	-0.646475
ACTA2	-1.6856875
ACTB	0.242628571
ACTC1	-0.558576923
ACTG1	0.340085714
ACTG2	0.079692308
ACTL6A	2.375525
ACTL6B	-2.2188875
ACTL7A	0.0799
ACTL7B	0.0612
ACTL8	1.8489
ACTN1	-0.500630769
ACTN2	-5.0075
ACTN3	-0.7605
ACTN4	1.005055556
ACTR10	-1.0649875
